Class,True Positives (%),False Positives (%),True Negatives (%),False Negatives (%)
Null,28.954802259887007,0.14124293785310735,70.62146892655367,0.2824858757062147
Still,11.158192090395481,0.0,88.70056497175142,0.14124293785310735
Walking,12.288135593220339,0.0,87.71186440677965,0.0
Run,1.977401129943503,0.0,98.0225988700565,0.0
Bike,3.672316384180791,0.0,96.32768361581921,0.0
Car,9.322033898305085,0.0,90.67796610169492,0.0
Bus,8.47457627118644,0.0,91.52542372881356,0.0
Train,9.6045197740113,0.2824858757062147,90.11299435028248,0.0
Subway,14.124293785310735,0.0,85.87570621468926,0.0
